sensor_1,1547718199,35.8
sensor_2,1547718201,15.4
sensor_3,1547718202,6.7
sensor_4,1547718203,38.1
sensor_1,1547718206,34.8
sensor_1,1547718208,31.8
sensor_2,1547718209,21.8
sensor_1,1547718211,14.8
sensor_3,1547718212,24.7
sensor_4,1547718214,24.9
sensor_1,1547718215,15.8
sensor_1,1547718198,37.1
sensor_1,1547718197,7.1
sensor_4,1547718218,17.8
sensor_1,1547718196,5.1
sensor_1,1547718222,11.8
sensor_2,1547718223,14.8
sensor_2,1547718224,14.9
sensor_3,1547718226,15.7
sensor_4,1547718231,19.8
sensor_2,1547718232,32.1
sensor_3,1547718233,33.2
sensor_1,1547718234,13.4
sensor_1,1547718193,36.8
sensor_1,1547718193,5.8
